,sample number,Components,AsFed,DM
0,27673400,Moisture,10.6,0
1,27673400,DryMatter,89.5,0
2,27673400,CrudeProtein,16.3,18.2
3,27673400,AdjustedCrudeProtein163,18.2,0
4,27673400,SolubleProteinCP,0,16
5,27673400,ADF,24.3,27.2
6,27673400,aNDF,43.3,48.5
7,27673400,Lignin,7.9,8.9
8,27673400,NFC,12.2,13.6
9,27673400,CrudeFatEE,2.68,3.00
10,27673400,Ash,14.93,16.69
11,27673400,Calcium,2.97,3.33
12,27673400,Phosphorus,.76,.85
13,27673400,Magnesium,.98,1.09
14,27673400,Potassium,.71,.80
15,27673400,Sodium,.296,.331
16,27673400,PPMIron,866,968
17,27673400,PPMZinc,552,617
18,27673400,PPMCopper,80,89
19,27673400,PPMManganese,457,511
20,27673400,PPMMolybdenum,6.6,7.4
21,27673400,Sulfur,.94,1.05
