,sample number,Components,AsFed,DM
0,27673360,Moisture,11.0,0
1,27673360,DryMatter,89.0,0
2,27673360,CrudeProtein,16.7,18.8
3,27673360,AdjustedCrudeProtein167,18.8,0
4,27673360,SolubleProteinCP,0,17
5,27673360,ADF,24.6,27.7
6,27673360,aNDF,44.0,49.4
7,27673360,Lignin,8.1,9.1
8,27673360,NFC,6.9,7.8
9,27673360,CrudeFatEE,3.75,4.21
10,27673360,Ash,17.59,19.77
11,27673360,Calcium,3.76,4.23
12,27673360,Phosphorus,.97,1.09
13,27673360,Magnesium,1.05,1.18
14,27673360,Potassium,.65,.73
15,27673360,Sodium,.329,.370
16,27673360,PPMIron,1070,1200
17,27673360,PPMZinc,466,524
18,27673360,PPMCopper,64,71
19,27673360,PPMManganese,446,502
20,27673360,PPMMolybdenum,6.2,7.0
21,27673360,Sulfur,.84,.94
