,sample number,Components,AsFed,DM
0,27673390,Moisture,10.4,0
1,27673390,DryMatter,89.6,0
2,27673390,CrudeProtein,16.8,18.7
3,27673390,AdjustedCrudeProtein168,18.7,0
4,27673390,SolubleProteinCP,0,22
5,27673390,ADF,24.8,27.7
6,27673390,aNDF,44.0,49.1
7,27673390,Lignin,6.8,7.6
8,27673390,NFC,9.7,10.8
9,27673390,CrudeFatEE,3.11,3.47
10,27673390,Ash,16.07,17.93
11,27673390,Calcium,3.53,3.94
12,27673390,Phosphorus,.95,1.06
13,27673390,Magnesium,1.02,1.14
14,27673390,Potassium,.52,.58
15,27673390,Sodium,.142,.159
16,27673390,PPMIron,928,1030
17,27673390,PPMZinc,564,630
18,27673390,PPMCopper,80,90
19,27673390,PPMManganese,456,509
20,27673390,PPMMolybdenum,6.9,7.7
21,27673390,Sulfur,.70,.79
