,sample number,Components,AsFed,DM
0,27673270,Moisture,8.4,0
1,27673270,DryMatter,91.6,0
2,27673270,CrudeProtein,17.6,19.3
3,27673270,AdjustedCrudeProtein,17.6,19.3
4,27673270,SolubleProteinCP,0,10
5,27673270,ADF,6.3,6.9
6,27673270,aNDF,15.9,17.4
7,27673270,Lignin,1.4,1.5
8,27673270,NFC,45.0,49.2
9,27673270,CrudeFatEE,4.16,4.54
10,27673270,Ash,8.78,9.59
11,27673270,TDN,71,78
12,27673270,NELMcalLb,.76,.83
13,27673270,NEMMcalLb,.80,.87
14,27673270,NEGMcalLb,.53,.58
15,27673270,Calcium,1.27,1.38
16,27673270,Phosphorus,.50,.55
17,27673270,Magnesium,.54,.59
18,27673270,Potassium,.88,.96
19,27673270,Sodium,.796,.869
20,27673270,PPMIron,449,490
21,27673270,PPMZinc,168,183
22,27673270,PPMCopper,17,19
23,27673270,PPMManganese,125,136
24,27673270,PPMMolybdenum,1.3,1.5
25,27673270,Sulfur,.26,.28
26,27673270,HorseDEMcalLb,1.33,1.46
