,sample number,Components,AsFed,DM
0,27673090,Moisture,8.8,0
1,27673090,DryMatter,91.2,0
2,27673090,CrudeProtein,12.4,13.6
3,27673090,AdjustedCrudeProtein,12.4,13.6
4,27673090,SolubleProteinCP,0,28
5,27673090,ADF,28.0,30.7
6,27673090,aNDF,47.8,52.5
7,27673090,Lignin,3.1,3.4
8,27673090,NFC,19.8,21.7
9,27673090,CrudeFatEE,4.12,4.52
10,27673090,Ash,7.05,7.74
11,27673090,TDN,61,67
12,27673090,NELMcalLb,.65,.71
13,27673090,NEMMcalLb,.62,.68
14,27673090,NEGMcalLb,.37,.41
15,27673090,Calcium,.77,.84
16,27673090,Phosphorus,.30,.33
17,27673090,Magnesium,.24,.27
18,27673090,Potassium,1.62,1.77
19,27673090,Sodium,.439,.482
20,27673090,PPMIron,139,152
21,27673090,PPMZinc,161,176
22,27673090,PPMCopper,21,23
23,27673090,PPMManganese,88,96
24,27673090,PPMMolybdenum,2.4,2.6
25,27673090,Sulfur,.38,.42
26,27673090,HorseDEMcalLb,1.08,1.18
