,sample number,Components,AsFed,DM
0,27673410,Moisture,10.5,0
1,27673410,DryMatter,89.5,0
2,27673410,CrudeProtein,17.2,19.2
3,27673410,AdjustedCrudeProtein,17.2,19.2
4,27673410,SolubleProteinCP,0,19
5,27673410,ADF,23.0,25.7
6,27673410,aNDF,41.9,46.8
7,27673410,Lignin,7.9,8.9
8,27673410,NFC,8.8,9.8
9,27673410,CrudeFatEE,3.29,3.68
10,27673410,Ash,18.42,20.57
11,27673410,Calcium,4.41,4.93
12,27673410,Phosphorus,.90,1.00
13,27673410,Magnesium,1.08,1.20
14,27673410,Potassium,.39,.44
15,27673410,Sodium,.425,.474
16,27673410,PPMIron,874,976
17,27673410,PPMZinc,468,523
18,27673410,PPMCopper,87,97
19,27673410,PPMManganese,424,473
20,27673410,PPMMolybdenum,6.7,7.5
21,27673410,Sulfur,.47,.52
