,sample number,Components,AsFed,DM
0,27673310,Moisture,10.5,0
1,27673310,DryMatter,89.5,0
2,27673310,CrudeProtein,17.1,19.1
3,27673310,AdjustedCrudeProtein,17.1,19.1
4,27673310,SolubleProteinCP,0,14
5,27673310,ADF,24.8,27.7
6,27673310,aNDF,44.7,50.0
7,27673310,Lignin,7.7,8.6
8,27673310,NFC,7.8,8.7
9,27673310,CrudeFatEE,3.89,4.35
10,27673310,Ash,15.99,17.87
11,27673310,Calcium,3.06,3.42
12,27673310,Phosphorus,.89,.99
13,27673310,Magnesium,.92,1.03
14,27673310,Potassium,.62,.70
15,27673310,Sodium,.368,.411
16,27673310,PPMIron,979,1090
17,27673310,PPMZinc,576,644
18,27673310,PPMCopper,86,96
19,27673310,PPMManganese,488,545
20,27673310,PPMMolybdenum,6.1,6.8
21,27673310,Sulfur,.91,1.01
