,sample number,Components,AsFed,DM
0,27673320,Moisture,10.8,0
1,27673320,DryMatter,89.2,0
2,27673320,CrudeProtein,17.4,19.5
3,27673320,AdjustedCrudeProtein,17.4,19.5
4,27673320,SolubleProteinCP,0,15
5,27673320,ADF,24.3,27.2
6,27673320,aNDF,45.1,50.6
7,27673320,Lignin,7.2,8.1
8,27673320,NFC,7.4,8.3
9,27673320,CrudeFatEE,3.68,4.13
10,27673320,Ash,15.62,17.51
11,27673320,Calcium,3.70,4.15
12,27673320,Phosphorus,.88,.99
13,27673320,Magnesium,.93,1.04
14,27673320,Potassium,.39,.44
15,27673320,Sodium,.162,.182
16,27673320,PPMIron,1000,1120
17,27673320,PPMZinc,438,491
18,27673320,PPMCopper,58,65
19,27673320,PPMManganese,411,461
20,27673320,PPMMolybdenum,6.4,7.2
21,27673320,Sulfur,.57,.64
