,sample number,Components,AsFed,DM
0,27673100,Moisture,8.2,0
1,27673100,DryMatter,91.8,0
2,27673100,CrudeProtein,12.8,14.0
3,27673100,AdjustedCrudeProtein128,14.0,0
4,27673100,SolubleProteinCP,0,33
5,27673100,ADF,28.4,31.0
6,27673100,aNDF,49.8,54.2
7,27673100,Lignin,3.1,3.4
8,27673100,NFC,18.0,19.6
9,27673100,CrudeFatEE,4.01,4.37
10,27673100,Ash,7.11,7.74
11,27673100,TDN,61,66
12,27673100,NELMcalLb,.64,.70
13,27673100,NEMMcalLb,.61,.66
14,27673100,NEGMcalLb,.36,.40
15,27673100,Calcium,.67,.73
16,27673100,Phosphorus,.32,.35
17,27673100,Magnesium,.24,.26
18,27673100,Potassium,1.57,1.72
19,27673100,Sodium,.399,.435
20,27673100,PPMIron,171,186
21,27673100,PPMZinc,106,115
22,27673100,PPMCopper,12,13
23,27673100,PPMManganese,68,74
24,27673100,PPMMolybdenum,2.1,2.3
25,27673100,Sulfur,.38,.42
26,27673100,HorseDEMcalLb,1.06,1.16
