,sample number,Components,AsFed,DM
0,27673150,Moisture,6.3,0
1,27673150,DryMatter,93.7,0
2,27673150,CrudeProtein,17.4,18.6
3,27673150,AdjustedCrudeProtein174,18.6,0
4,27673150,SolubleProteinCP,0,14
5,27673150,ADF,3.9,4.2
6,27673150,aNDF,10.8,11.5
7,27673150,Lignin,.9,1.0
8,27673150,NFC,52.1,55.6
9,27673150,CrudeFatEE,5.77,6.16
10,27673150,Ash,7.63,8.14
11,27673150,TDN,79,84
12,27673150,NELMcalLb,.85,.91
13,27673150,NEMMcalLb,.90,.96
14,27673150,NEGMcalLb,.62,.66
15,27673150,Calcium,1.23,1.31
16,27673150,Phosphorus,.63,.67
17,27673150,Magnesium,.53,.57
18,27673150,Potassium,.86,.92
19,27673150,Sodium,.472,.504
20,27673150,PPMIron,414,441
21,27673150,PPMZinc,41,44
22,27673150,PPMCopper,3,3
23,27673150,PPMManganese,30,32
24,27673150,PPMMolybdenum,1.6,1.7
25,27673150,Sulfur,.29,.31
26,27673150,HorseDEMcalLb,1.49,1.59
