,sample number,Components,AsFed,DM
0,27673130,Moisture,8.2,0
1,27673130,DryMatter,91.8,0
2,27673130,CrudeProtein,12.1,13.2
3,27673130,AdjustedCrudeProtein121,13.2,0
4,27673130,SolubleProteinCP,0,26
5,27673130,ADF,27.3,29.7
6,27673130,aNDF,45.0,49.0
7,27673130,Lignin,3.1,3.4
8,27673130,NFC,23.3,25.3
9,27673130,CrudeFatEE,3.37,3.67
10,27673130,Ash,8.10,8.82
11,27673130,TDN,60,66
12,27673130,NELMcalLb,.63,.69
13,27673130,NEMMcalLb,.60,.66
14,27673130,NEGMcalLb,.36,.39
15,27673130,Calcium,.67,.73
16,27673130,Phosphorus,.32,.34
17,27673130,Magnesium,.26,.29
18,27673130,Potassium,1.50,1.64
19,27673130,Sodium,.503,.548
20,27673130,PPMIron,245,267
21,27673130,PPMZinc,108,118
22,27673130,PPMCopper,9,10
23,27673130,PPMManganese,91,99
24,27673130,PPMMolybdenum,1.8,1.9
25,27673130,Sulfur,.60,.65
26,27673130,HorseDEMcalLb,1.12,1.22
