,sample number,Components,AsFed,DM
0,27673380,Moisture,11.0,0
1,27673380,DryMatter,89.0,0
2,27673380,CrudeProtein,16.1,18.1
3,27673380,AdjustedCrudeProtein161,18.1,0
4,27673380,SolubleProteinCP,0,23
5,27673380,ADF,25.6,28.8
6,27673380,aNDF,42.7,48.0
7,27673380,Lignin,7.7,8.6
8,27673380,NFC,7.2,8.1
9,27673380,CrudeFatEE,3.60,4.05
10,27673380,Ash,19.40,21.79
11,27673380,Calcium,4.15,4.66
12,27673380,Phosphorus,.85,.95
13,27673380,Magnesium,.96,1.08
14,27673380,Potassium,.50,.56
15,27673380,Sodium,.233,.261
16,27673380,PPMIron,1170,1310
17,27673380,PPMZinc,412,462
18,27673380,PPMCopper,68,77
19,27673380,PPMManganese,374,420
20,27673380,PPMMolybdenum,6.5,7.3
21,27673380,Sulfur,.86,.96
