,sample number,Components,AsFed,DM
0,27673140,Moisture,8.0,0
1,27673140,DryMatter,92.0,0
2,27673140,CrudeProtein,12.3,13.3
3,27673140,AdjustedCrudeProtein123,13.3,0
4,27673140,SolubleProteinCP,0,28
5,27673140,ADF,27.0,29.4
6,27673140,aNDF,37.7,41.0
7,27673140,Lignin,4.4,4.8
8,27673140,NFC,26.7,29.0
9,27673140,CrudeFatEE,3.35,3.64
10,27673140,Ash,12.04,13.08
11,27673140,TDN,56,61
12,27673140,NELMcalLb,.59,.64
13,27673140,NEMMcalLb,.56,.60
14,27673140,NEGMcalLb,.32,.34
15,27673140,Calcium,.89,.97
16,27673140,Phosphorus,.27,.29
17,27673140,Magnesium,.37,.41
18,27673140,Potassium,1.72,1.87
19,27673140,Sodium,.876,.953
20,27673140,PPMIron,203,220
21,27673140,PPMZinc,147,160
22,27673140,PPMCopper,16,18
23,27673140,PPMManganese,107,116
24,27673140,PPMMolybdenum,1.3,1.4
25,27673140,Sulfur,1.33,1.44
26,27673140,HorseDEMcalLb,1.21,1.31
