,sample number,Components,AsFed,DM
0,27673340,Moisture,10.4,0
1,27673340,DryMatter,89.6,0
2,27673340,CrudeProtein,16.1,17.9
3,27673340,AdjustedCrudeProtein161,17.9,0
4,27673340,SolubleProteinCP,0,17
5,27673340,ADF,25.0,27.9
6,27673340,aNDF,45.7,51.0
7,27673340,Lignin,7.3,8.1
8,27673340,NFC,7.2,8.0
9,27673340,CrudeFatEE,5.12,5.71
10,27673340,Ash,15.54,17.34
11,27673340,Calcium,3.56,3.98
12,27673340,Phosphorus,.98,1.09
13,27673340,Magnesium,1.04,1.16
14,27673340,Potassium,.43,.48
15,27673340,Sodium,.106,.119
16,27673340,PPMIron,937,1040
17,27673340,PPMZinc,404,451
18,27673340,PPMCopper,70,78
19,27673340,PPMManganese,383,428
20,27673340,PPMMolybdenum,6.1,6.8
21,27673340,Sulfur,.41,.46
