,sample number,Components,AsFed,DM
0,27673350,Moisture,10.9,0
1,27673350,DryMatter,89.1,0
2,27673350,CrudeProtein,17.8,19.9
3,27673350,AdjustedCrudeProtein178,19.9,0
4,27673350,SolubleProteinCP,0,17
5,27673350,ADF,23.1,26.0
6,27673350,aNDF,42.5,47.7
7,27673350,Lignin,8.0,9.0
8,27673350,NFC,8.3,9.3
9,27673350,CrudeFatEE,4.48,5.03
10,27673350,Ash,16.08,18.05
11,27673350,Calcium,3.78,4.24
12,27673350,Phosphorus,.93,1.04
13,27673350,Magnesium,.97,1.09
14,27673350,Potassium,.44,.50
15,27673350,Sodium,.373,.419
16,27673350,PPMIron,964,1080
17,27673350,PPMZinc,444,498
18,27673350,PPMCopper,74,83
19,27673350,PPMManganese,414,465
20,27673350,PPMMolybdenum,6.2,6.9
21,27673350,Sulfur,.41,.46
