,sample number,Components,AsFed,DM
0,27673220,Moisture,11.6,0
1,27673220,DryMatter,88.4,0
2,27673220,CrudeProtein,11.3,12.8
3,27673220,AdjustedCrudeProtein113,12.8,0
4,27673220,SolubleProteinCP,0,22
5,27673220,ADF,6.6,7.5
6,27673220,aNDF,33.9,38.3
7,27673220,Lignin,2.3,2.6
8,27673220,NFC,7.7,8.7
9,27673220,CrudeFatEE,2.09,2.36
10,27673220,Ash,33.50,37.88
11,27673220,TDN,35,40
12,27673220,NELMcalLb,.35,.39
13,27673220,NEMMcalLb,.22,.25
14,27673220,NEGMcalLb,.01,.02
15,27673220,Calcium,3.68,4.16
16,27673220,Phosphorus,.20,.23
17,27673220,Magnesium,.80,.91
18,27673220,Potassium,2.20,2.49
19,27673220,Sodium,3.895,4.405
20,27673220,PPMIron,1410,1590
21,27673220,PPMZinc,52,59
22,27673220,PPMCopper,3,3
23,27673220,PPMManganese,103,116
24,27673220,PPMMolybdenum,.7,.8
25,27673220,Sulfur,4.31,4.88
