,sample number,Components,AsFed,DM
0,27673060,Moisture,8.9,0
1,27673060,DryMatter,91.1,0
2,27673060,CrudeProtein,13.0,14.3
3,27673060,AdjustedCrudeProtein130,14.3,0
4,27673060,SolubleProteinCP,0,30
5,27673060,ADF,26.7,29.3
6,27673060,aNDF,46.0,50.5
7,27673060,Lignin,3.9,4.3
8,27673060,NFC,21.1,23.1
9,27673060,CrudeFatEE,4.78,5.25
10,27673060,Ash,6.28,6.89
11,27673060,TDN,62,68
12,27673060,NELMcalLb,.66,.72
13,27673060,NEMMcalLb,.63,.70
14,27673060,NEGMcalLb,.39,.42
15,27673060,Calcium,.64,.70
16,27673060,Phosphorus,.30,.33
17,27673060,Magnesium,.23,.25
18,27673060,Potassium,1.56,1.71
19,27673060,Sodium,.321,.353
20,27673060,PPMIron,121,133
21,27673060,PPMZinc,117,128
22,27673060,PPMCopper,7,8
23,27673060,PPMManganese,64,70
24,27673060,PPMMolybdenum,2.5,2.8
25,27673060,Sulfur,.28,.31
26,27673060,HorseDEMcalLb,1.10,1.20
