,sample number,Components,AsFed,DM
0,27673160,Moisture,5.7,0
1,27673160,DryMatter,94.3,0
2,27673160,CrudeProtein,18.0,19.0
3,27673160,AdjustedCrudeProtein180,19.0,0
4,27673160,SolubleProteinCP,0,16
5,27673160,ADF,5.1,5.4
6,27673160,aNDF,10.9,11.6
7,27673160,Lignin,1.1,1.2
8,27673160,NFC,51.9,55.0
9,27673160,CrudeFatEE,5.80,6.15
10,27673160,Ash,7.76,8.23
11,27673160,TDN,79,84
12,27673160,NELMcalLb,.85,.90
13,27673160,NEMMcalLb,.90,.96
14,27673160,NEGMcalLb,.62,.65
15,27673160,Calcium,1.27,1.35
16,27673160,Phosphorus,.64,.67
17,27673160,Magnesium,.57,.60
18,27673160,Potassium,.86,.91
19,27673160,Sodium,.463,.491
20,27673160,PPMIron,396,420
21,27673160,PPMZinc,41,43
22,27673160,PPMCopper,5,5
23,27673160,PPMManganese,31,33
24,27673160,PPMMolybdenum,1.4,1.4
25,27673160,Sulfur,.29,.31
26,27673160,HorseDEMcalLb,1.49,1.58
