,sample number,Components,AsFed,DM
0,27673110,Moisture,8.5,0
1,27673110,DryMatter,91.5,0
2,27673110,CrudeProtein,14.4,15.7
3,27673110,AdjustedCrudeProtein144,15.7,0
4,27673110,SolubleProteinCP,0,27
5,27673110,ADF,22.6,24.6
6,27673110,aNDF,38.3,41.9
7,27673110,Lignin,3.3,3.6
8,27673110,NFC,25.1,27.4
9,27673110,CrudeFatEE,4.14,4.52
10,27673110,Ash,9.66,10.55
11,27673110,TDN,61,66
12,27673110,NELMcalLb,.64,.70
13,27673110,NEMMcalLb,.63,.68
14,27673110,NEGMcalLb,.38,.42
15,27673110,Calcium,1.13,1.23
16,27673110,Phosphorus,.36,.40
17,27673110,Magnesium,.31,.34
18,27673110,Potassium,1.50,1.64
19,27673110,Sodium,.621,.679
20,27673110,PPMIron,284,310
21,27673110,PPMZinc,155,169
22,27673110,PPMCopper,19,20
23,27673110,PPMManganese,105,115
24,27673110,PPMMolybdenum,1.4,1.5
25,27673110,Sulfur,.66,.72
26,27673110,HorseDEMcalLb,1.19,1.30
