,sample number,Components,AsFed,DM
0,27673020,Moisture,8.8,0
1,27673020,DryMatter,91.2,0
2,27673020,CrudeProtein,14.3,15.7
3,27673020,AdjustedCrudeProtein143,15.7,0
4,27673020,SolubleProteinCP,0,27
5,27673020,ADF,22.1,24.3
6,27673020,aNDF,37.7,41.3
7,27673020,Lignin,2.5,2.7
8,27673020,NFC,26.2,28.8
9,27673020,CrudeFatEE,4.53,4.97
10,27673020,Ash,8.42,9.23
11,27673020,TDN,64,70
12,27673020,NELMcalLb,.68,.75
13,27673020,NEMMcalLb,.67,.74
14,27673020,NEGMcalLb,.42,.46
15,27673020,Calcium,.95,1.05
16,27673020,Phosphorus,.36,.39
17,27673020,Magnesium,.31,.35
18,27673020,Potassium,1.45,1.59
19,27673020,Sodium,.405,.444
20,27673020,PPMIron,216,237
21,27673020,PPMZinc,221,243
22,27673020,PPMCopper,25,27
23,27673020,PPMManganese,156,171
24,27673020,PPMMolybdenum,1.9,2.1
25,27673020,Sulfur,.35,.39
26,27673020,HorseDEMcalLb,1.20,1.31
