,sample number,Components,AsFed,DM
0,27673070,Moisture,9.0,0
1,27673070,DryMatter,91.0,0
2,27673070,CrudeProtein,13.4,14.7
3,27673070,AdjustedCrudeProtein,13.4,14.7
4,27673070,SolubleProteinCP,0,35
5,27673070,ADF,29.5,32.4
6,27673070,aNDF,49.0,53.9
7,27673070,Lignin,3.7,4.1
8,27673070,NFC,17.5,19.3
9,27673070,CrudeFatEE,4.46,4.90
10,27673070,Ash,6.64,7.29
11,27673070,TDN,60,66
12,27673070,NELMcalLb,.64,.70
13,27673070,NEMMcalLb,.61,.67
14,27673070,NEGMcalLb,.36,.40
15,27673070,Calcium,.65,.72
16,27673070,Phosphorus,.32,.35
17,27673070,Magnesium,.22,.24
18,27673070,Potassium,1.54,1.69
19,27673070,Sodium,.301,.331
20,27673070,PPMIron,145,159
21,27673070,PPMZinc,82,90
22,27673070,PPMCopper,12,13
23,27673070,PPMManganese,50,55
24,27673070,PPMMolybdenum,2.0,2.2
25,27673070,Sulfur,.31,.34
26,27673070,HorseDEMcalLb,1.05,1.16
