,sample number,Components,AsFed,DM
0,27672980,Moisture,9.0,0
1,27672980,DryMatter,91.0,0
2,27672980,CrudeProtein,13.7,15.0
3,27672980,AdjustedCrudeProtein,13.7,15.0
4,27672980,SolubleProteinCP,0,30
5,27672980,ADF,26.6,29.2
6,27672980,aNDF,43.5,47.9
7,27672980,Lignin,3.5,3.9
8,27672980,NFC,21.9,24.1
9,27672980,CrudeFatEE,4.56,5.01
10,27672980,Ash,7.28,8.00
11,27672980,TDN,61,68
12,27672980,NELMcalLb,.65,.72
13,27672980,NEMMcalLb,.63,.70
14,27672980,NEGMcalLb,.39,.43
15,27672980,Calcium,.75,.82
16,27672980,Phosphorus,.34,.37
17,27672980,Magnesium,.31,.34
18,27672980,Potassium,1.56,1.72
19,27672980,Sodium,.306,.336
20,27672980,PPMIron,215,236
21,27672980,PPMZinc,65,72
22,27672980,PPMCopper,8,9
23,27672980,PPMManganese,43,47
24,27672980,PPMMolybdenum,1.9,2.0
25,27672980,Sulfur,.29,.32
26,27672980,HorseDEMcalLb,1.12,1.23
