,sample number,Components,AsFed,DM
0,27672990,Moisture,8.7,0
1,27672990,DryMatter,91.4,0
2,27672990,CrudeProtein,13.7,15.0
3,27672990,AdjustedCrudeProtein,13.7,15.0
4,27672990,SolubleProteinCP,0,27
5,27672990,ADF,25.9,28.3
6,27672990,aNDF,44.7,48.9
7,27672990,Lignin,2.9,3.2
8,27672990,NFC,21.5,23.5
9,27672990,CrudeFatEE,4.34,4.75
10,27672990,Ash,7.13,7.80
11,27672990,TDN,62,68
12,27672990,NELMcalLb,.66,.73
13,27672990,NEMMcalLb,.64,.70
14,27672990,NEGMcalLb,.39,.43
15,27672990,Calcium,.81,.88
16,27672990,Phosphorus,.33,.37
17,27672990,Magnesium,.24,.26
18,27672990,Potassium,1.46,1.60
19,27672990,Sodium,.349,.382
20,27672990,PPMIron,138,151
21,27672990,PPMZinc,180,197
22,27672990,PPMCopper,29,31
23,27672990,PPMManganese,126,138
24,27672990,PPMMolybdenum,1.9,2.1
25,27672990,Sulfur,.22,.24
26,27672990,HorseDEMcalLb,1.11,1.22
