,sample number,Components,AsFed,DM
0,27673120,Moisture,8.5,0
1,27673120,DryMatter,91.5,0
2,27673120,CrudeProtein,12.4,13.5
3,27673120,AdjustedCrudeProtein,12.4,13.5
4,27673120,SolubleProteinCP,0,30
5,27673120,ADF,23.9,26.1
6,27673120,aNDF,42.5,46.4
7,27673120,Lignin,2.9,3.2
8,27673120,NFC,23.8,26.0
9,27673120,CrudeFatEE,3.74,4.08
10,27673120,Ash,9.12,9.97
11,27673120,TDN,60,66
12,27673120,NELMcalLb,.64,.70
13,27673120,NEMMcalLb,.61,.67
14,27673120,NEGMcalLb,.37,.40
15,27673120,Calcium,.98,1.07
16,27673120,Phosphorus,.31,.34
17,27673120,Magnesium,.29,.32
18,27673120,Potassium,1.57,1.71
19,27673120,Sodium,.617,.675
20,27673120,PPMIron,271,296
21,27673120,PPMZinc,197,215
22,27673120,PPMCopper,37,40
23,27673120,PPMManganese,113,123
24,27673120,PPMMolybdenum,2.4,2.6
25,27673120,Sulfur,.66,.72
26,27673120,HorseDEMcalLb,1.15,1.26
