,sample number,Components,AsFed,DM
0,27673010,Moisture,9.1,0
1,27673010,DryMatter,90.9,0
2,27673010,CrudeProtein,14.3,15.8
3,27673010,AdjustedCrudeProtein,14.3,15.8
4,27673010,SolubleProteinCP,0,27
5,27673010,ADF,27.7,30.4
6,27673010,aNDF,45.5,50.1
7,27673010,Lignin,3.9,4.3
8,27673010,NFC,19.2,21.1
9,27673010,CrudeFatEE,4.74,5.21
10,27673010,Ash,7.15,7.87
11,27673010,TDN,61,67
12,27673010,NELMcalLb,.65,.71
13,27673010,NEMMcalLb,.62,.68
14,27673010,NEGMcalLb,.38,.41
15,27673010,Calcium,.76,.84
16,27673010,Phosphorus,.35,.39
17,27673010,Magnesium,.27,.30
18,27673010,Potassium,1.62,1.78
19,27673010,Sodium,.239,.263
20,27673010,PPMIron,166,183
21,27673010,PPMZinc,82,90
22,27673010,PPMCopper,12,13
23,27673010,PPMManganese,62,68
24,27673010,PPMMolybdenum,2.0,2.2
25,27673010,Sulfur,.26,.28
26,27673010,HorseDEMcalLb,1.09,1.20
