,sample number,Components,AsFed,DM
0,27673080,Moisture,9.0,0
1,27673080,DryMatter,91.0,0
2,27673080,CrudeProtein,12.7,14.0
3,27673080,AdjustedCrudeProtein,12.7,14.0
4,27673080,SolubleProteinCP,0,30
5,27673080,ADF,28.3,31.1
6,27673080,aNDF,44.1,48.4
7,27673080,Lignin,3.8,4.2
8,27673080,NFC,22.4,24.6
9,27673080,CrudeFatEE,4.31,4.74
10,27673080,Ash,7.49,8.23
11,27673080,TDN,60,66
12,27673080,NELMcalLb,.64,.71
13,27673080,NEMMcalLb,.62,.68
14,27673080,NEGMcalLb,.37,.41
15,27673080,Calcium,.78,.86
16,27673080,Phosphorus,.31,.34
17,27673080,Magnesium,.25,.28
18,27673080,Potassium,1.55,1.70
19,27673080,Sodium,.432,.474
20,27673080,PPMIron,145,159
21,27673080,PPMZinc,146,160
22,27673080,PPMCopper,17,19
23,27673080,PPMManganese,96,106
24,27673080,PPMMolybdenum,1.5,1.7
25,27673080,Sulfur,.31,.35
26,27673080,HorseDEMcalLb,1.11,1.22
