,sample number,Components,AsFed,DM
0,27673000,Moisture,9.5,0
1,27673000,DryMatter,90.5,0
2,27673000,CrudeProtein,12.2,13.4
3,27673000,AdjustedCrudeProtein,12.2,13.4
4,27673000,SolubleProteinCP,0,28
5,27673000,ADF,23.8,26.3
6,27673000,aNDF,40.0,44.2
7,27673000,Lignin,3.5,3.8
8,27673000,NFC,23.5,25.9
9,27673000,CrudeFatEE,4.11,4.54
10,27673000,Ash,10.76,11.89
11,27673000,TDN,58,64
12,27673000,NELMcalLb,.62,.68
13,27673000,NEMMcalLb,.59,.65
14,27673000,NEGMcalLb,.35,.38
15,27673000,Calcium,1.00,1.10
16,27673000,Phosphorus,.30,.33
17,27673000,Magnesium,.29,.32
18,27673000,Potassium,1.55,1.72
19,27673000,Sodium,.734,.811
20,27673000,PPMIron,250,276
21,27673000,PPMZinc,188,207
22,27673000,PPMCopper,27,30
23,27673000,PPMManganese,114,126
24,27673000,PPMMolybdenum,2.3,2.6
25,27673000,Sulfur,.84,.93
26,27673000,HorseDEMcalLb,1.16,1.28
